run,tau,hit,n_at_risk,G2G3_rate,G4_rate,G5_rate,Ghat_rate,gamma0_mean,Twit
0,inf,False,2164,0.9510166358595195,0.0,1.0,0.0,0.0,inf
1,inf,False,2164,0.9380776340110906,0.0,1.0,0.0,0.0,inf
2,inf,False,2164,0.9477818853974121,0.0,1.0,0.0,0.0,inf
3,inf,False,2164,0.9463955637707948,0.0,1.0,0.0,0.0,inf
4,inf,False,2164,0.9477818853974121,0.0,1.0,0.0,0.0,inf
5,inf,False,2164,0.9505545286506469,0.7010166358595195,1.0,0.7010166358595195,1.0018673290741092e-05,647.0
6,inf,False,2164,0.9459334565619224,0.7051756007393716,1.0,0.7051756007393716,1.0039823828733869e-05,638.0
7,inf,False,2164,0.9426987060998152,0.7093345656192237,1.0,0.7093345656192237,1.0061049805792124e-05,629.0
8,inf,False,2164,0.9339186691312384,0.0,1.0,0.0,0.0,inf
9,inf,False,2164,0.9413123844731978,0.6719038817005545,1.0,0.6719038817005545,9.858337109769364e-06,710.0
10,inf,False,2164,0.9459334565619224,0.0,1.0,0.0,0.0,inf
11,inf,False,2164,0.9385397412199631,0.0,1.0,0.0,0.0,inf
12,inf,False,2164,0.9380776340110906,0.0,1.0,0.0,0.0,inf
13,inf,False,2164,0.9524029574861368,0.0,1.0,0.0,0.0,inf
14,inf,False,2164,0.9510166358595195,0.0,1.0,0.0,0.0,inf
15,inf,False,2164,0.9560998151571165,0.0,1.0,0.0,0.0,inf
16,inf,False,2164,0.9353049907578558,0.7093345656192237,1.0,0.7093345656192237,1.0061049805792124e-05,629.0
17,inf,False,2164,0.9491682070240296,0.0,1.0,0.0,0.0,inf
18,inf,False,2164,0.9413123844731978,0.0,1.0,0.0,0.0,inf
19,inf,False,2164,0.9505545286506469,0.0,1.0,0.0,0.0,inf
20,inf,False,2164,0.9403881700554528,0.0,1.0,0.0,0.0,inf
21,inf,False,2164,0.9468576709796673,0.6922365988909427,1.0,0.6922365988909427,9.974044717100077e-06,666.0
22,132.0,True,132,0.0,0.5227272727272727,1.0,0.0,0.0,159.0
23,inf,False,2164,0.9348428835489834,0.0,1.0,0.0,0.0,inf
24,inf,False,2164,0.9376155268022182,0.0,1.0,0.0,0.0,inf
25,inf,False,2164,0.9533271719038817,0.7014787430683919,1.0,0.7014787430683919,1.0021023350518069e-05,646.0
26,inf,False,2164,0.944547134935305,0.6686691312384473,1.0,0.6686691312384473,9.839274123620667e-06,717.0
27,inf,False,2164,0.9316081330868762,0.0,1.0,0.0,0.0,inf
28,inf,False,2164,0.9431608133086876,0.7162661737523105,1.0,0.7162661737523105,1.0096373486328375e-05,614.0
29,inf,False,2164,0.9468576709796673,0.6571164510166358,1.0,0.6571164510166358,9.771081096581876e-06,742.0
30,inf,False,2164,0.9440850277264325,0.0,1.0,0.0,0.0,inf
31,inf,False,2164,0.9417744916820703,0.6913123844731978,1.0,0.6913123844731978,9.969353243418551e-06,668.0
32,inf,False,2164,0.9533271719038817,0.7121072088724584,1.0,0.7121072088724584,1.0075185627927025e-05,623.0
33,inf,False,2164,0.9473197781885397,0.0,1.0,0.0,0.0,inf
34,inf,False,2164,0.9510166358595195,0.0,1.0,0.0,0.0,inf
35,inf,False,2164,0.9482439926062847,0.6862292051756007,1.0,0.6862292051756007,9.943139133821913e-06,679.0
36,inf,False,2164,0.944547134935305,0.0,1.0,0.0,0.0,inf
37,inf,False,2164,0.9431608133086876,0.0,1.0,0.0,0.0,inf
38,inf,False,2164,0.9560998151571165,0.0,1.0,0.0,0.0,inf
39,inf,False,2164,0.9325323475046211,0.0,1.0,0.0,0.0,inf
40,inf,False,2164,0.9454713493530499,0.0,1.0,0.0,0.0,inf
41,inf,False,2164,0.9459334565619224,0.0,1.0,0.0,0.0,inf
42,inf,False,2164,0.9542513863216266,0.0,1.0,0.0,0.0,inf
43,inf,False,2164,0.9371534195933456,0.0,1.0,0.0,0.0,inf
44,inf,False,2164,0.9426987060998152,0.7014787430683919,1.0,0.7014787430683919,1.0021023350518069e-05,646.0
45,144.0,True,144,0.0,0.7083333333333334,1.0,0.0,0.0,175.0
46,inf,False,2164,0.9440850277264325,0.7111829944547134,1.0,0.7111829944547134,1.0070474675831209e-05,625.0
47,inf,False,2164,0.9477818853974121,0.0,1.0,0.0,0.0,inf
48,inf,False,2164,0.9417744916820703,0.0,1.0,0.0,0.0,inf
49,inf,False,2164,0.9482439926062847,0.722735674676525,1.0,0.722735674676525,1.0129381512854122e-05,600.0
50,inf,False,2164,0.9325323475046211,0.0,1.0,0.0,0.0,inf
